#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data_100" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:simulated_cognate_data_100" name="distribution">
#            <parameter id="bcov_alpha.s:simulated_cognate_data_100" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:simulated_cognate_data_100" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data_100" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data_100" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data_100" excludeto="1" filter="-" id="orgdata.simulated_cognate_data_100" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data_100" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data_100" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data_100" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data_100" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:simulated_cognate_data_100" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data_100">
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data_100" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data_100" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data_100" estimate="false" id="dummyfrequencies.s:simulated_cognate_data_100" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data_100	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data_100	bcov_alpha.s:simulated_cognate_data_100	bcov_s.s:simulated_cognate_data_100	YuleModel.t:tree	birthRate.t:tree	frequencies.s:simulated_cognate_data_100.1	frequencies.s:simulated_cognate_data_100.2
0	-517.7787165416437	-160.76664322381097	-357.01207331783274	-160.76664322381097	28.354868930723114	354.5365546836634	1.0	0.1	0.5	-354.53655468366327	1.0	0.95	0.05
1000	-161.39460775483482	-122.95141935042487	-38.44318840440995	-122.95141935042487	5.232756959805086	45.25726918983244	1.0	0.1	0.5	-35.96766977024047	0.5210606314752545	0.9501520187162592	0.04984798128374078
2000	-130.18715928577546	-117.02397981033124	-13.163179475444231	-117.02397981033124	1.3581463184916125	12.386856112417876	1.0	0.1	0.4148475350004119	-10.873538267448213	1.512887829528081	0.9501520187162592	0.04984798128374078
3000	-135.97695096844103	-112.30254470129586	-23.674406267145173	-112.30254470129586	2.5843240886515693	21.499493911313152	1.0	0.0836607498143592	0.4148475350004119	-21.384765059149153	0.9396946590475594	0.9501520187162592	0.04984798128374078
4000	-115.68518004563165	-101.55100814582562	-14.134171899806036	-101.55100814582562	1.394421936513732	12.2661656693499	1.0	0.0836607498143592	0.35196373775210654	-12.006982840447801	2.2005806248340036	0.9501520187162592	0.04984798128374078
5000	-108.42501650534966	-102.7543603115639	-5.670656193785758	-102.7543603115639	1.0096632032847754	8.367081265801255	1.0	0.07498474888179764	0.20182222904338387	-4.086815137311841	1.7201504748531566	0.9501520187162592	0.04984798128374078
6000	-123.97566232532968	-106.59999786949933	-17.375664455830346	-106.59999786949933	1.4746568170168641	15.85794467653323	1.0	0.07925515277871087	0.22609486376941787	-15.681507099511165	1.0705168857989726	0.9501520187162592	0.04984798128374078
7000	-136.59298326541827	-109.2792769137455	-27.31370635167277	-109.2792769137455	2.601740263869872	25.84099305894238	1.0	0.07035694867560027	0.3392101207293304	-25.222855645429416	0.5978625461875766	0.9381019938239744	0.061898006176025644
8000	-154.82081071687577	-114.78929984002706	-40.031510876848714	-114.78929984002706	6.179769160383549	51.140391580704105	1.0	0.05572659418106804	0.3392101207293304	-37.94066017060536	0.4163512053294969	0.9400317000704368	0.05996829992956325
9000	-136.9685661888899	-107.4800432673393	-29.488522921550604	-107.4800432673393	4.793240052024283	29.388253513633373	1.0	0.05572659418106804	0.37952063187076573	-27.286966404470782	0.6463092176675082	0.9409646588631322	0.0590353411368678
10000	-120.381874877295	-105.31542495517132	-15.066449922123677	-105.31542495517132	1.8052883595947407	13.63120425088993	1.0	0.06297244916332605	0.37952063187076573	-12.864893405043855	1.2134539925482346	0.9361267048258225	0.06387329517417749
11000	-130.80568526819383	-106.87957724555072	-23.9261080226431	-106.87957724555072	2.8420019434066126	21.646518059273312	1.0	0.08221506381621514	0.41952928148565505	-21.62533749565505	0.991751220909746	0.9361267048258225	0.06387329517417749
12000	-136.993960060444	-107.17686782094944	-29.81709223949458	-107.17686782094944	3.580167730470942	28.30291587036828	1.0	0.0504703486970938	0.3948142125673146	-27.576475336563558	0.4760106511852176	0.9361267048258225	0.06387329517417749
13000	-138.0558451107182	-113.85218649896835	-24.203658611749837	-113.85218649896835	3.2982612441591987	21.881273420412942	1.0	0.060976605512520585	0.3948142125673146	-21.963041708818814	1.0261612169725145	0.9378822408199893	0.06211775918001072
14000	-115.3720451389834	-104.36694162605954	-11.005103512923853	-104.36694162605954	1.0366815757510675	10.798481576896823	1.0	0.06287525847744012	0.3948142125673146	-8.76448660999283	1.3860662407456796	0.9486387714399399	0.05136122856006011
15000	-113.12739598419226	-99.9044131948134	-13.222982789378863	-99.9044131948134	1.4209128302155283	12.345401638679272	1.0	0.07911698105941233	0.46416484873095193	-10.821697585598177	1.4814338568219703	0.9681593696918578	0.03184063030814231
16000	-141.91591802414587	-113.94063285020295	-27.975285173942936	-113.94063285020295	3.374790855876099	26.56713775639977	1.0	0.09942114460916905	0.46416484873095193	-25.573999970162248	0.6153048865722239	0.9681593696918578	0.03184063030814231
17000	-146.14824344676194	-118.11529760369092	-28.032945843071023	-118.11529760369092	2.94713131102736	26.68164406002668	1.0	0.09894323460405753	0.5557791630830712	-25.451374510776105	0.7090555674120445	0.9694297064017827	0.030570293598217377
