Adnyamathanha	-30.278723125673643
AghuTharrnggala	-15.262328712792018
Alngith	-12.578606591811436
Alyawarr	-21.894603089211532
Aminungo	-23.616481324182647
Antekerrepenhe	-22.070261809847462
Arabana	-28.33587348965679
Awabakal	-33.04854474324685
Ayapathu	-14.551465220193247
Badimaya	-28.3400467602	117.3372810097
Balkurra	-35.45213237247902
Bandjalang	-28.819539419449654
Barna	-21.97994698134707
BarrowPoint	-14.59371596151824
Batyala	-25.228159204418194
Belyando	-21.758814434607928
BidyaraGungabula	-25.894769586867323
Bilinarra	-16.765149774239852
Bindal	-19.712672892522914
Bindjali	-35.23963968016614
Biri	-21.11122358966996
Birrpayi	-31.43196384002234
Bularnu	-19.49849339429888
Bunganditj	-37.22224935973641
CentralAnmatyerr	-21.982	133.42
ChampionBay	-28.8	114.5
Colac	-38.355830787136306
Coobenpil	-27.513679544902832
Coonambella	-18.80114705199153
Dalla	-25.591477383036366
