Adnyamathanha	139.03193563889755
AghuTharrnggala	143.42809173144647
Alngith	141.93162282302418
Alyawarr	135.73526542762957
Aminungo	147.57809010719802
Antekerrepenhe	137.42922894855326
Arabana	136.07161399983875
Awabakal	151.53391214127052
Ayapathu	142.72647863577325
Badimaya	NA
Balkurra	139.4176306102887
Bandjalang	152.598057814612
Barna	147.98197567575892
BarrowPoint	144.0866308522912
Batyala	153.15089526007358
Belyando	145.92785005825016
BidyaraGungabula	147.68586159962908
Bilinarra	130.7972411171247
Bindal	146.76619927109562
Bindjali	140.4576291073398
Biri	146.8021504813445
Birrpayi	152.36591618323928
Bularnu	139.69434391105216
Bunganditj	140.61222705290726
CentralAnmatyerr	NA
ChampionBay	NA
Colac	143.514248359501
Coobenpil	153.45964244062566
Coonambella	146.06469227018252
Dalla	152.33690222849688
