#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:simulated_cognate_data" name="distribution">
#            <parameter id="bcov_alpha.s:simulated_cognate_data" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:simulated_cognate_data" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data" excludeto="1" filter="-" id="orgdata.simulated_cognate_data" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:simulated_cognate_data" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data">
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data" estimate="false" id="dummyfrequencies.s:simulated_cognate_data" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data	bcov_alpha.s:simulated_cognate_data	bcov_s.s:simulated_cognate_data	YuleModel.t:tree	frequencies.s:simulated_cognate_data.1	frequencies.s:simulated_cognate_data.2	birthRate.t:tree
0	-3204.5924211684005	-3041.4468032322084	-163.1456179361919	-3041.4468032322084	14.449256753863063	160.6700993020225	1.0	0.1	0.5	-160.67009930202244	0.95	0.05	1.0
1000	-2003.4167553367095	-1971.8562132046493	-31.560542132060117	-1971.8562132046493	3.4949377470937666	29.910424238348046	1.0	0.1	0.5	-29.08502349789063	0.9365076130476936	0.0634923869523064	0.9181795027672698
2000	-1814.4619798445094	-1793.3092447786437	-21.152735065865688	-1793.3092447786437	2.219730665363521	18.65608476834956	1.0	0.08272654356930034	0.5	-18.677216431696202	0.9275233197425571	0.07247668025744289	0.9678092983279449
3000	-1815.7072876672557	-1791.2401485708917	-24.467139096364008	-1791.2401485708917	2.46179520384848	21.334439888940626	1.0	0.0540111070778072	0.5	-21.991620462194522	0.9339429495222691	0.06605705047773093	0.6578538721717719
4000	-1817.5282367266725	-1795.4740533122208	-22.054183414451664	-1795.4740533122208	2.2886372353874913	19.107012925046423	1.0	0.0540111070778072	0.5	-19.57866478028218	0.9339429495222691	0.06605705047773093	1.232803069513698
5000	-1816.4472116520055	-1793.5948472738974	-22.85236437810825	-1793.5948472738974	2.3298486147170743	19.914533722259666	1.0	0.0540111070778072	0.5	-20.376845743938762	0.9352430932990431	0.06475690670095698	1.185832645327791
6000	-1806.6323117126449	-1782.7798336060216	-23.852478106623224	-1782.7798336060216	2.626845123860608	21.13579122580515	1.0	0.060165049283944914	0.461205954910209	-21.457564105382446	0.9352430932990431	0.06475690670095698	0.7203397928185115
7000	-1811.3571782059107	-1784.9722323933192	-26.38494581259151	-1784.9722323933192	2.6497579070932527	22.54046679468344	1.0	0.060165049283944914	0.461205954910209	-23.990031811350732	0.9254991060707397	0.07450089392926035	0.5314406357292878
8000	-1810.5361160800467	-1789.6511166871765	-20.884999392870125	-1789.6511166871765	2.142054122043282	18.06469632207198	1.0	0.060165049283944914	0.461205954910209	-18.490085391629346	0.9249878198632369	0.07501218013676317	1.297350685640246
9000	-1813.551924946619	-1789.0637229376773	-24.4882020089418	-1789.0637229376773	2.6180077574717533	21.432932201702688	1.0	0.060165049283944914	0.461205954910209	-22.093288007701023	0.9249878198632369	0.07501218013676317	1.1699669886122468
10000	-1809.9270975525437	-1785.838809373829	-24.088288178714787	-1785.838809373829	2.54129663695419	21.78219788535468	1.0	0.060165049283944914	0.461205954910209	-21.69337417747401	0.9153044811186467	0.08469551888135335	0.7870971494227571
11000	-1808.7423924775367	-1787.1781892145666	-21.564203262970054	-1787.1781892145666	2.0463466480765673	19.16380093461482	1.0	0.060165049283944914	0.461205954910209	-19.169289261729276	0.9213549982300979	0.0786450017699021	0.9663588621691588
12000	-1810.1288797264676	-1786.1793753211814	-23.949504405286145	-1786.1793753211814	2.6364926086735556	21.626569505342424	1.0	0.060165049283944914	0.461205954910209	-21.554590404045367	0.9213549982300979	0.0786450017699021	0.7938569754082637
13000	-1816.794440351827	-1792.0325001281124	-24.7619402237147	-1792.0325001281124	2.8589615117589897	22.68375018839582	1.0	0.03821223860653514	0.461205954910209	-22.36702622247392	0.9102698714042631	0.08973012859573691	0.8393086906952807
14000	-1811.9836573130276	-1787.5373928864076	-24.446264426619972	-1787.5373928864076	2.442819140068216	22.023881733777234	1.0	0.043447805798569064	0.36485187645988754	-22.28362141767248	0.9115709297192931	0.08842907028070693	1.070838191677029
15000	-1807.1584507962693	-1779.963181465365	-27.195269330904292	-1779.963181465365	3.075909038819013	25.3756427255551	1.0	0.04029556979851829	0.36485187645988754	-25.0326263219568	0.9070487031406087	0.0929512968593913	0.5848381812073802
16000	-1816.9835840340636	-1784.0459679888793	-32.937616045184384	-1784.0459679888793	4.68064875637297	35.31740814726268	1.0	0.04029556979851829	0.25364407718260984	-31.131475284081315	0.9070487031406087	0.0929512968593913	0.648394271745429
